baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_ensembl,gene,ensembl
1318.85889942139,-3.974503528417,0.458679102713678,-8.66510705393529,4.51088923823933e-18,6.83760590732317e-14,NINJ1_ENSG00000131669,NINJ1,ENSG00000131669
2679.58062594318,-4.69117495504068,0.56970582831611,-8.23438118740416,1.80488138336719e-16,1.36791960045399e-12,MIF_ENSG00000240972,MIF,ENSG00000240972
263.708742771469,-4.47895658527301,0.575209291515227,-7.78665548582232,6.88062326569866e-15,3.47654958204867e-11,PTGS2_ENSG00000073756,PTGS2,ENSG00000073756
546.825812022886,-3.50068881295032,0.463909891209839,-7.54605340235538,4.48646144332322e-14,1.70014456394734e-10,MSRB1_ENSG00000198736,MSRB1,ENSG00000198736
127.552562507529,3.68633715704518,0.527416686346699,6.98942079853339,2.76023382074838e-12,8.04353360986941e-09,PEX11B_ENSG00000131779,PEX11B,ENSG00000131779
1168.7336171665,-3.22365993527764,0.462547532207443,-6.96935927837119,3.18387661031907e-12,8.04353360986941e-09,JUNB_ENSG00000171223,JUNB,ENSG00000171223
455.654974755639,-3.08215954339318,0.445944218057242,-6.91153605897307,4.79433628493336e-12,9.684267326627e-09,CDKN1A_ENSG00000124762,CDKN1A,ENSG00000124762
1067.20236939147,-4.64279362338698,0.672629224025832,-6.90245600034868,5.11110559526428e-12,9.684267326627e-09,CCL3_ENSG00000277632,CCL3,ENSG00000277632
821.065503282367,-3.97722351715733,0.582964961034949,-6.82240577563442,8.95283515122703e-12,1.50785639135888e-08,IDO1_ENSG00000131203,IDO1,ENSG00000131203
455.628198773397,-3.0651096019753,0.457068987323947,-6.70601088015388,2.00016815816981e-11,2.75623172195799e-08,GADD45B_ENSG00000099860,GADD45B,ENSG00000099860
650.761843741396,-2.84257011984973,0.423029979265127,-6.71954768971161,1.8228951775917e-11,2.75623172195799e-08,GNB2_ENSG00000172354,GNB2,ENSG00000172354
1534.76929028456,-3.30675397837928,0.500293490449791,-6.60962823123349,3.85286359017684e-11,4.86680885832504e-08,ISG15_ENSG00000187608,ISG15,ENSG00000187608
997.558241273444,-2.71960689933688,0.416843479923449,-6.52428796496067,6.83253299186053e-11,7.96673346850938e-08,GRINA_ENSG00000178719,GRINA,ENSG00000178719
149.189427879897,-3.50716748397158,0.54425157932854,-6.44401893752606,1.16350557560224e-10,1.25974410821277e-07,CD40_ENSG00000101017,CD40,ENSG00000101017
1453.57232438634,-2.74213197255109,0.426650538231547,-6.42711476215908,1.3004864139968e-10,1.3141848708909e-07,SQSTM1_ENSG00000161011,SQSTM1,ENSG00000161011
185.532250668566,-2.98278779390743,0.465412466523399,-6.4089125420053,1.46561232784852e-10,1.38848447909549e-07,LTB4R_ENSG00000213903,LTB4R,ENSG00000213903
251.698887079988,-3.41730705637239,0.534685885769544,-6.391242311276,1.64543392151044e-10,1.46714631660325e-07,ETV7_ENSG00000010030,ETV7,ENSG00000010030
261.159224778162,-2.89879675159008,0.457411368771112,-6.33739550326008,2.33681591946225e-10,1.96785865040049e-07,PAF1_ENSG00000006712,PAF1,ENSG00000006712
106.124437896627,-2.5578519183409,0.407148475233665,-6.28235661910053,3.33478787135132e-10,2.66045866073386e-07,CISH_ENSG00000114737,CISH,ENSG00000114737
958.335033662933,-2.84926231114541,0.454353444014151,-6.27102611124187,3.58676456830277e-10,2.71840886631667e-07,BAZ1A_ENSG00000198604,BAZ1A,ENSG00000198604
367.200420286122,-2.46433154292041,0.394602232321721,-6.24510289366846,4.23521220041957e-10,3.01912726653478e-07,PPIF_ENSG00000108179,PPIF,ENSG00000108179
46.3371972041577,4.26297389897386,0.683645333226072,6.23565128259883,4.49902319344739e-10,3.01912726653478e-07,MTUS1_ENSG00000129422,MTUS1,ENSG00000129422
6.24885376381911,4.18815887833357,0.671952298891872,6.2328217125536,4.58107449071776e-10,3.01912726653478e-07,FOXD4L5_ENSG00000204779,FOXD4L5,ENSG00000204779
1331.00098688941,-2.88370921065226,0.464565942199595,-6.20731945393731,5.38959710642551e-10,3.14213511304607e-07,SPI1_ENSG00000066336,SPI1,ENSG00000066336
710.139114391687,-2.61318758317592,0.420737728717391,-6.21096565583069,5.2659983115057e-10,3.14213511304607e-07,RALB_ENSG00000144118,RALB,ENSG00000144118
178.368445611442,3.93213652588034,0.632898614512305,6.21290114359049,5.20151757437312e-10,3.14213511304607e-07,SELENOP_ENSG00000250722,SELENOP,ENSG00000250722
13.0750639684818,-3.46385261468814,0.558883877668781,-6.19780378911014,5.72564543430528e-10,3.21441975900739e-07,BBS5_ENSG00000163093,BBS5,ENSG00000163093
21.2408170714867,4.55953649670065,0.738086074573287,6.17751323832613,6.51191168740569e-10,3.52526990563198e-07,SLC30A2_ENSG00000158014,SLC30A2,ENSG00000158014
63.7738712606214,3.1861748840916,0.518230778529018,6.14817763841711,7.83782267770789e-10,4.09674883271366e-07,TEX2_ENSG00000136478,TEX2,ENSG00000136478
6.32864359955241,6.10002038273447,0.995327119029307,6.12865887617281,8.8622905290396e-10,4.47781999463941e-07,EYA1_ENSG00000104313,EYA1,ENSG00000104313
3.32092013708808,-4.02795413079591,0.662766633818852,-6.07748478161445,1.22082262817965e-09,5.96942883804748e-07,SLC13A3_ENSG00000158296,SLC13A3,ENSG00000158296
476.787488270239,-2.42371640235765,0.401986383105849,-6.02934951087498,1.64620925018214e-09,7.56158782250328e-07,R3HDM4_ENSG00000198858,R3HDM4,ENSG00000198858
3.48252659250288,-4.04729807139706,0.670764776899832,-6.033855996588,1.60092740599562e-09,7.56158782250328e-07,SIGLEC12_ENSG00000254521,SIGLEC12,ENSG00000254521
207.106134266975,-2.53999615979566,0.422897683778242,-6.00617184067525,1.8995486491592e-09,8.30358467115195e-07,CHMP1A_ENSG00000131165,CHMP1A,ENSG00000131165
2732.63050793142,-2.71825034819256,0.453371247021772,-5.99563903985738,2.02686787724385e-09,8.30358467115195e-07,SH3BGRL3_ENSG00000142669,SH3BGRL3,ENSG00000142669
37.0543166073158,3.727163178565,0.621569139798041,5.99637745814732,2.01767735289747e-09,8.30358467115195e-07,ZNF660_ENSG00000144792,ZNF660,ENSG00000144792
204.63020372218,-2.68198494049786,0.446907365641015,-6.00120997480316,1.95852520638734e-09,8.30358467115195e-07,MTF1_ENSG00000188786,MTF1,ENSG00000188786
245.375037011427,-2.91048894794902,0.486861578646012,-5.97806250401447,2.25807100773451e-09,8.87776417972173e-07,HK2_ENSG00000159399,HK2,ENSG00000159399
56000.1240512705,-2.88934424400653,0.483475927661524,-5.97619049614674,2.28415887985979e-09,8.87776417972173e-07,FTH1_ENSG00000167996,FTH1,ENSG00000167996
4.2432987136625,4.57228176248752,0.76667543153257,5.96377759666514,2.46472162242861e-09,9.34006258819322e-07,SP8_ENSG00000164651,SP8,ENSG00000164651
1108.21509652947,-2.55331710840287,0.42899031322964,-5.95192252519714,2.65010825592537e-09,9.79764413251629e-07,MBOAT7_ENSG00000125505,MBOAT7,ENSG00000125505
162.431313346809,5.07088076289543,0.853966164715787,5.93803475174347,2.8845890758779e-09,1.04106193362279e-06,GRAMD1C_ENSG00000178075,GRAMD1C,ENSG00000178075
142.219983623257,3.42393097692814,0.578848749454715,5.91507018051528,3.31734105475042e-09,1.16624731328271e-06,NIF3L1_ENSG00000196290,NIF3L1,ENSG00000196290
322.791491157011,-2.44979832130262,0.414655844217066,-5.90802795973663,3.46227266774784e-09,1.16624731328271e-06,LRP10_ENSG00000197324,LRP10,ENSG00000197324
56.5093253817811,-3.05247952260891,0.516381402054819,-5.91128865304265,3.39441592850471e-09,1.16624731328271e-06,C4B_ENSG00000224389,C4B,ENSG00000224389
307.159291609608,-2.45637335377567,0.416497531926824,-5.89769005931886,3.68625557371659e-09,1.21470134753035e-06,FOSL2_ENSG00000075426,FOSL2,ENSG00000075426
513.500135410594,-2.41617748240787,0.410705447622888,-5.88299350883318,4.02911733942572e-09,1.27236167981281e-06,TPD52L2_ENSG00000101150,TPD52L2,ENSG00000101150
294.870022971683,-2.67287026402108,0.454137943085732,-5.88559116170678,3.96633686608062e-09,1.27236167981281e-06,PTAFR_ENSG00000169403,PTAFR,ENSG00000169403
2289.18447172061,-2.41189309606038,0.41083238441363,-5.87074726229972,4.33835210978594e-09,1.34205594449256e-06,PLEK_ENSG00000115956,PLEK,ENSG00000115956
159.841397911645,-3.45392913451766,0.590264915989943,-5.85148979882197,4.87189169885123e-09,1.47696268742374e-06,GPR84_ENSG00000139572,GPR84,ENSG00000139572
621.495889140971,-2.27342735830546,0.38968266969486,-5.83404789359931,5.40985818000112e-09,1.6078947116168e-06,BSG_ENSG00000172270,BSG,ENSG00000172270
506.626908635298,-2.05204964007586,0.352209160304591,-5.82622450336399,5.66953362530279e-09,1.65266905177576e-06,SERPINB1_ENSG00000021355,SERPINB1,ENSG00000021355
604.808969858296,-2.19063020347438,0.377811213849964,-5.79821382523686,6.70249584629711e-09,1.91691381204097e-06,WBP2_ENSG00000132471,WBP2,ENSG00000132471
18.6516461308139,4.43632445234499,0.76557878766434,5.79473272225777,6.84300728913212e-09,1.92085749053083e-06,SULT1A4_ENSG00000213648,SULT1A4,ENSG00000213648
5.59164693574146,5.03651574805144,0.86972195756005,5.79094928473585,6.99897101443677e-09,1.92891641157877e-06,SGIP1_ENSG00000118473,SGIP1,ENSG00000118473
160.336105073204,-2.84449100729463,0.491772537274913,-5.78415993511344,7.28755837996512e-09,1.97258589149127e-06,PADI2_ENSG00000117115,PADI2,ENSG00000117115
1031.50553495832,-4.15486821054513,0.721127032016434,-5.76163148249647,8.33047303063238e-09,2.21532123154957e-06,CXCL10_ENSG00000169245,CXCL10,ENSG00000169245
14.0777771151119,5.43901019824755,0.947250520069316,5.74189201590467,9.36245213106557e-09,2.44682843797745e-06,LYNX1_ENSG00000180155,LYNX1,ENSG00000180155
379.545984496755,-3.03554143011902,0.529622141501854,-5.73152289575944,9.95329102974291e-09,2.55715229540412e-06,TMEM219_ENSG00000149932,TMEM219,ENSG00000149932
183.899851002881,2.71010726541805,0.47359546310141,5.72240968625526,1.05023676651626e-08,2.65324815114225e-06,GPR183_ENSG00000169508,GPR183,ENSG00000169508
49.1623649051067,-2.9479708702458,0.517528807422752,-5.69624497798766,1.22474862080529e-08,2.99431283776881e-06,CARD6_ENSG00000132357,CARD6,ENSG00000132357
225.704038213007,-2.78417182329875,0.488563184525324,-5.69869345764106,1.20729081647146e-08,2.99431283776881e-06,CSRNP1_ENSG00000144655,CSRNP1,ENSG00000144655
100.739611877192,-2.70567052043402,0.476250149922294,-5.68119615474238,1.33755966674736e-08,3.20291468319121e-06,RP2_ENSG00000102218,RP2,ENSG00000102218
206.408247894814,-2.58508144065056,0.455174663464105,-5.67931751951395,1.3523323639282e-08,3.20291468319121e-06,HSPA1B_ENSG00000204388,HSPA1B,ENSG00000204388
1462.9739863693,-2.99809290936402,0.530049502252708,-5.65625077775214,1.54715362656089e-08,3.44878745167793e-06,PLAUR_ENSG00000011422,PLAUR,ENSG00000011422
2.84241525559281,5.9634729322763,1.05404711156152,5.65769107174131,1.5342297137571e-08,3.44878745167793e-06,PPARGC1A_ENSG00000109819,PPARGC1A,ENSG00000109819
5547.95674981062,-2.60192833947089,0.459791962604486,-5.65892523377812,1.52323891978185e-08,3.44878745167793e-06,H3-3B_ENSG00000132475,H3-3B,ENSG00000132475
161.605271718415,-2.45609647283478,0.433736558262835,-5.66264573747653,1.49056686230776e-08,3.44878745167793e-06,DUSP5_ENSG00000138166,DUSP5,ENSG00000138166
1215.55299124103,-3.12035322314769,0.553362227893474,-5.63889811385604,1.71141755469437e-08,3.75966192667496e-06,CCL3L3_ENSG00000276085,CCL3L3,ENSG00000276085
8526.18866387832,-2.51844141479503,0.447784915500338,-5.62422119999514,1.86346745209984e-08,4.0352056627042e-06,GAPDH_ENSG00000111640,GAPDH,ENSG00000111640
151.568277286512,-2.80535747266093,0.500431350032322,-5.60587875335895,2.07200978557605e-08,4.36215615691136e-06,ODC1_ENSG00000115758,ODC1,ENSG00000115758
1011.68236931678,-3.28252950329059,0.585425830220542,-5.60708006692154,2.05768485914747e-08,4.36215615691136e-06,RGS2_ENSG00000116741,RGS2,ENSG00000116741
76.3863843651268,-4.09465174150109,0.731101514416706,-5.60066100364725,2.13535969174776e-08,4.43394276815239e-06,ACOD1_ENSG00000102794,ACOD1,ENSG00000102794
257.890331223402,2.83692895526925,0.507099356084923,5.59442429028476,2.21355033953736e-08,4.53418865496044e-06,MED14_ENSG00000180182,MED14,ENSG00000180182
66.4402196000119,-2.62691727949685,0.469969718805096,-5.58954582473064,2.27664282679129e-08,4.60124692913365e-06,SCN1B_ENSG00000105711,SCN1B,ENSG00000105711
15.1833418556103,-3.79828644871836,0.682017153746757,-5.56919489172954,2.55919104526135e-08,5.10423919264099e-06,ADGRF3_ENSG00000173567,ADGRF3,ENSG00000173567
299.419368953363,-3.3385974275875,0.599903105332615,-5.56522778080375,2.61810194518054e-08,5.15392068636969e-06,ANXA3_ENSG00000138772,ANXA3,ENSG00000138772
285.460284437847,-3.04262013345469,0.547470870209717,-5.55759273966333,2.73520664106944e-08,5.22529711210753e-06,LRG1_ENSG00000171236,LRG1,ENSG00000171236
647.411550106148,-3.14119538758187,0.56522458004306,-5.55742884950717,2.73777525763784e-08,5.22529711210753e-06,CCL4L2_ENSG00000276070,CCL4L2,ENSG00000276070
178.460366731225,-2.53089817146358,0.455512295497769,-5.55615775134653,2.75777654683073e-08,5.22529711210753e-06,SCO2_ENSG00000284194,SCO2,ENSG00000284194
669.454686525812,-2.97101910056644,0.53507169839037,-5.55256259956192,2.81511853879254e-08,5.26809466802683e-06,SOCS3_ENSG00000184557,SOCS3,ENSG00000184557
1285.48355961512,-2.25370951401145,0.406191755441581,-5.54838812905345,2.8831527153552e-08,5.32961327553099e-06,PSMB9_ENSG00000240065,PSMB9,ENSG00000240065
11.5311196674017,5.14389536408735,0.929935928874715,5.5314513660224,3.17591923020846e-08,5.80007032427709e-06,JADE3_ENSG00000102221,JADE3,ENSG00000102221
59.215782295274,-2.76905274866182,0.501635755859537,-5.52004660018132,3.38909773322883e-08,6.1157075524146e-06,GNA15_ENSG00000060558,GNA15,ENSG00000060558
252.110711024897,-2.97478122163052,0.53940435331257,-5.51493736259617,3.4890420027135e-08,6.2219880796625e-06,P2RY13_ENSG00000181631,P2RY13,ENSG00000181631
639.268872078201,-2.30970166771936,0.419928413663606,-5.50022716388419,3.79302254756197e-08,6.68542276464468e-06,NBN_ENSG00000104320,NBN,ENSG00000104320
85.5598899920133,-3.02941361509448,0.551403082252446,-5.49400921503652,3.92909974470853e-08,6.76787431026043e-06,HLX_ENSG00000136630,HLX,ENSG00000136630
324.983468502233,-2.5934558387804,0.471941930125129,-5.4952859096304,3.90077913363446e-08,6.76787431026043e-06,PDLIM7_ENSG00000196923,PDLIM7,ENSG00000196923
453.826832115771,-2.99027500101988,0.54497717200238,-5.48697294977122,4.08879716127734e-08,6.9638188056901e-06,BASP1_ENSG00000176788,BASP1,ENSG00000176788
40.6479957972272,-3.51221914360213,0.641893006711608,-5.47165821543234,4.45844056464745e-08,7.50900467543623e-06,SPATC1_ENSG00000186583,SPATC1,ENSG00000186583
29.1505395042298,3.43394866635304,0.63072873365093,5.44441450522772,5.1976060146895e-08,8.65772659018279e-06,AZIN2_ENSG00000142920,AZIN2,ENSG00000142920
714.343956173358,-2.76139027538534,0.507772410268072,-5.43824402339524,5.38082455001005e-08,8.69016377809323e-06,SLC43A3_ENSG00000134802,SLC43A3,ENSG00000134802
386.653382815764,-2.6841129171633,0.493508868603817,-5.43883420931604,5.36303309521601e-08,8.69016377809323e-06,C3AR1_ENSG00000171860,C3AR1,ENSG00000171860
95.3612543254916,-2.32739999862401,0.427990504707948,-5.43797110688746,5.38907108550444e-08,8.69016377809323e-06,CYHR1_ENSG00000187954,CYHR1,ENSG00000187954
8.79504655296205,5.156362570906,0.949355281326329,5.43143612547468,5.59023256639888e-08,8.91965739383939e-06,JAKMIP3_ENSG00000188385,JAKMIP3,ENSG00000188385
875.082161297603,-2.47497868380317,0.456178094797654,-5.4254658696424,5.78035748713596e-08,9.12694362395906e-06,CD55_ENSG00000196352,CD55,ENSG00000196352
225.391456422874,-2.38173026923186,0.439869394442112,-5.41463056835909,6.14153743130851e-08,9.59726024574993e-06,SCARF1_ENSG00000074660,SCARF1,ENSG00000074660
1205.48590954734,-2.2335261176145,0.413633172489849,-5.39977512966351,6.67244808244058e-08,1.03205069422076e-05,LIMK2_ENSG00000182541,LIMK2,ENSG00000182541
73.8717012729692,-2.50104851328857,0.463808107055065,-5.39242086381132,6.95147171789275e-08,1.06434755858402e-05,CKAP4_ENSG00000136026,CKAP4,ENSG00000136026
2441.11073130964,-3.51851855363193,0.652738862450041,-5.39039232385405,7.03040302745631e-08,1.06566849090183e-05,IL1RN_ENSG00000136689,IL1RN,ENSG00000136689
110.336055659577,-2.28825861942496,0.425055747064367,-5.3834317856628,7.30789500063854e-08,1.09676309326415e-05,IER5_ENSG00000162783,IER5,ENSG00000162783
46.2214017393123,2.88384424694885,0.537032235681622,5.36996488355782,7.87519755338145e-08,1.1703161226878e-05,FGD6_ENSG00000180263,FGD6,ENSG00000180263
13.2905408675624,-4.8412512265994,0.90575114896105,-5.34501251491935,9.04108066534308e-08,1.33053107500263e-05,TMEM158_ENSG00000249992,TMEM158,ENSG00000249992
11.9553353651631,4.50738116455887,0.843779010089872,5.34189771333465,9.19785535933095e-08,1.34058741862249e-05,PRND_ENSG00000171864,PRND,ENSG00000171864
5.46554552657863,-4.30536351236245,0.807958031358333,-5.32869696848523,9.89198809285756e-08,1.428026242967e-05,CA12_ENSG00000074410,CA12,ENSG00000074410
754.439649837223,-2.40718943439444,0.451994145334583,-5.32570932442621,1.00559834355046e-07,1.42896644097356e-05,RAP1A_ENSG00000116473,RAP1A,ENSG00000116473
163.492974880341,-2.28775312324235,0.429749471800759,-5.32345767327204,1.01813151883589e-07,1.42896644097356e-05,SLC35E1_ENSG00000127526,SLC35E1,ENSG00000127526
66.2395692858526,-2.31256693198015,0.434398151113248,-5.32361135988644,1.01727128005039e-07,1.42896644097356e-05,GCC1_ENSG00000179562,GCC1,ENSG00000179562
439.511646743612,-2.13307113362346,0.40094493708511,-5.32010991117882,1.03704580998779e-07,1.44215966860504e-05,GCH1_ENSG00000131979,GCH1,ENSG00000131979
66.9148150630482,2.74788270339765,0.516808531919314,5.31702271476173,1.05478905165695e-07,1.45349931318328e-05,PCYT2_ENSG00000185813,PCYT2,ENSG00000185813
51.5769314885413,-2.76889770253865,0.522951778021339,-5.29474765917263,1.19180868613025e-07,1.60710252143515e-05,ARNTL2_ENSG00000029153,ARNTL2,ENSG00000029153
