baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_ensembl,gene,ensembl
4.79987213710321,-20.6110999612516,1.4787764360541,-13.9379418407892,3.72528610536403e-44,5.6467886785108e-40,RARB_ENSG00000077092,RARB,ENSG00000077092
345.847258870449,-6.1947037255523,0.501608132766666,-12.3496875766045,4.89009597475689e-35,3.70620373926825e-31,ASAP1_ENSG00000153317,ASAP1,ENSG00000153317
1085.0707229315,-6.32192072500912,0.518956062493916,-12.1819960915925,3.87675982497972e-34,1.95879751423475e-30,TMBIM4_ENSG00000155957,TMBIM4,ENSG00000155957
14.8411572804904,-21.4808134974318,1.83020688279908,-11.7368225960223,8.25291157138377e-32,3.12744083997588e-28,MAP1LC3B2_ENSG00000258102,MAP1LC3B2,ENSG00000258102
11259.7068618258,-4.76253653958345,0.414138193130589,-11.4998727926591,1.32109986127438e-30,4.0050463394394e-27,CD74_ENSG00000019582,CD74,ENSG00000019582
356.014031062897,-5.19561474080329,0.461853929661742,-11.2494760943325,2.3297173598655e-29,5.88564262347355e-26,KAT6A_ENSG00000083168,KAT6A,ENSG00000083168
154.286067166277,-6.76203577982178,0.605702788598322,-11.1639502196614,6.12100096363223e-29,1.32545903723911e-25,TGFBR1_ENSG00000106799,TGFBR1,ENSG00000106799
7.07019387051405,-20.2493111245051,1.83364350780709,-11.0432104377376,2.36431613542887e-28,4.47978799760385e-25,TMEM117_ENSG00000139173,TMEM117,ENSG00000139173
350.645430531097,-7.6351892987619,0.69798828953658,-10.9388501400664,7.51469214562099e-28,1.26564115048137e-24,MTHFD2_ENSG00000065911,MTHFD2,ENSG00000065911
9.88455651229632,-20.3259558254974,1.89163005220599,-10.7452066548602,6.24219760931658e-27,9.46192313620207e-24,TTLL1_ENSG00000100271,TTLL1,ENSG00000100271
6.71059277455858,-20.382959412873,1.91513121920836,-10.6431137503458,1.87748228006914e-26,2.58717058193528e-23,RFX4_ENSG00000111783,RFX4,ENSG00000111783
854.632309096861,-5.10292703991036,0.482841328240825,-10.5685382369862,4.16942596508662e-26,5.26667989823192e-23,HNRNPL_ENSG00000104824,HNRNPL,ENSG00000104824
952.653892709959,-6.02039631017759,0.578372124943757,-10.4092089686429,2.25084124775203e-25,2.62448089487886e-22,SLC25A37_ENSG00000147454,SLC25A37,ENSG00000147454
7.04972195405238,-19.4924179749253,1.88162340250076,-10.3593620003976,3.79484762776913e-25,4.10873573869461e-22,EFCAB8_ENSG00000215529,EFCAB8,ENSG00000215529
6.39366562587345,-19.5142599504679,1.89259425779226,-10.3108523499546,6.29406009860363e-25,6.36035753164225e-22,METAP1D_ENSG00000172878,METAP1D,ENSG00000172878
1103.13774683153,-5.3748246155478,0.525377497267364,-10.2304050773087,1.44911958122428e-24,1.37285966326235e-21,KPNB1_ENSG00000108424,KPNB1,ENSG00000108424
258.51932758726,-6.67238549991191,0.653124922519955,-10.2160938433766,1.67973792304243e-24,1.42545060383157e-21,ADNP_ENSG00000101126,ADNP,ENSG00000101126
3.44180708863464,7.09315967205021,0.69436301541408,10.2153477569946,1.69271083711363e-24,1.42545060383157e-21,SP8_ENSG00000164651,SP8,ENSG00000164651
249.831612922686,-7.06994016010827,0.69558777411384,-10.1639799076618,2.87111613998173e-24,2.24925062268144e-21,KCNJ2_ENSG00000123700,KCNJ2,ENSG00000123700
309.685009622056,-4.95150526931359,0.487316742237361,-10.160753448733,2.96774062895031e-24,2.24925062268144e-21,RNASEH2B_ENSG00000136104,RNASEH2B,ENSG00000136104
109.353982561427,-4.55296177202019,0.44838314225969,-10.1541769591847,3.17477532935949e-24,2.2915830686872e-21,INTS3_ENSG00000143624,INTS3,ENSG00000143624
1079.823235766,-7.17146371530146,0.709995056827437,-10.1007234435499,5.48361493202642e-24,3.7782106881662e-21,CDC42SE1_ENSG00000197622,CDC42SE1,ENSG00000197622
2.0029414761913,-19.4426424235737,1.92715944896396,-10.0887565032702,6.19492838841232e-24,4.08272715267626e-21,IQCH_ENSG00000103599,IQCH,ENSG00000103599
831.413558584011,-5.06605346611501,0.506122874661091,-10.0095327039058,1.38404729428191e-23,8.74141203613547e-21,MVP_ENSG00000013364,MVP,ENSG00000013364
243.893520669772,-5.94573054826725,0.601221522089054,-9.88941734422235,4.62713104989078e-23,2.80552209816978e-20,PCNX2_ENSG00000135749,PCNX2,ENSG00000135749
2.48974079099992,-19.0806255196311,1.94133754258866,-9.82859760399431,8.47912633415008e-23,4.9433306528095e-20,VWDE_ENSG00000146530,VWDE,ENSG00000146530
176.2076429455,-5.98170133432725,0.612940367712736,-9.75902656998873,1.68767293322045e-22,9.4747208599095e-20,TSC22D2_ENSG00000196428,TSC22D2,ENSG00000196428
9.64052946065793,-20.7853392166992,2.13317582642197,-9.74384715936096,1.9599072973867e-22,9.98786673747689e-20,CPLX2_ENSG00000145920,CPLX2,ENSG00000145920
7.21136170014661,-19.9675077795715,2.04868400717132,-9.7465044436703,1.90929536817351e-22,9.98786673747689e-20,M1AP_ENSG00000159374,M1AP,ENSG00000159374
2.20420443127771,-20.6133183811571,2.11571028356359,-9.74297782701945,1.97675156435088e-22,9.98786673747689e-20,SLC38A11_ENSG00000169507,SLC38A11,ENSG00000169507
