baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_ensembl,gene
9.24496605286177,20.6602222929408,1.72246414889849,11.9945731852549,3.79367633787069e-33,5.63626493517448e-29,AC011511.4_ENSG00000267303,AC011511.4
4.57581042618976,20.0039052938282,2.06203418885658,9.70105413476225,2.98399546866938e-22,2.21666103390105e-18,MPP3_ENSG00000161647,MPP3
5.70723096712712,17.3927009621994,1.84362465879296,9.43397067252647,3.94851918496202e-21,1.95543831769936e-17,ZWINT_ENSG00000122952,ZWINT
5.76291419206183,19.3835945919437,2.08731053306473,9.28639715312671,1.59599322844626e-20,5.92791784875651e-17,TMOD1_ENSG00000136842,TMOD1
5.43187570180037,14.298378043922,1.70636238328047,8.37944986599712,5.31756596233294e-17,1.58006155004761e-13,RSC1A1_ENSG00000215695,RSC1A1
45.1279568845861,5.18195460668942,0.683823048617678,7.57791744101714,3.51145718329707e-14,8.69495322870744e-11,CHKB-CPT1B_ENSG00000254413,CHKB-CPT1B
45.8924165544448,5.52468371257298,0.733220976394843,7.53481404710647,4.89031205619132e-14,1.03793380312621e-10,EXOSC7_ENSG00000075914,EXOSC7
14.5774795269648,18.0869993848663,2.42653120773787,7.45384989370396,9.06551363378545e-14,1.68357920071438e-10,OOSP1_ENSG00000284873,OOSP1
3.74914071544898,20.1451305354543,2.7170602909759,7.41431119595021,1.22258540463604e-13,2.01821681740863e-10,SETD9_ENSG00000155542,SETD9
77.9104715931751,8.21988046497019,1.13498290581475,7.24229450757195,4.41156567360995e-13,6.55426312128231e-10,SKA2_ENSG00000182628,SKA2
56.9682839886112,6.82439100401025,0.966586212501167,7.06030244974347,1.66140586837096e-12,2.05695891553228e-09,DRC3_ENSG00000171962,DRC3
3.34384425733015,19.3437519637001,2.73632096743212,7.06925546890541,1.55767154442335e-12,2.05695891553228e-09,LIN9_ENSG00000183814,LIN9
1.59143336574212,19.6709300534505,2.8029836931605,7.01785390384149,2.25301939481806e-12,2.57485454990861e-09,PKIB_ENSG00000135549,PKIB
6.10304492836997,20.0631724532043,2.86364104189379,7.00617576005129,2.44920212115035e-12,2.59912827956648e-09,AL035078.4_ENSG00000285283,AL035078.4
5.16258728558037,19.4383056020785,2.79536853254482,6.95375417436728,3.55691200863566e-12,3.52300278082e-09,AC008581.2_ENSG00000285000,AC008581.2
41.8063658744484,4.75499260395146,0.688406959034939,6.90724075569684,4.94170884106605e-12,4.5886855157324e-09,ABCB8_ENSG00000197150,ABCB8
77.1045844425521,4.13450795007759,0.600310256850771,6.88728520443283,5.68671422222288e-12,4.96985371762149e-09,TRAPPC11_ENSG00000168538,TRAPPC11
18.4989019457393,16.8140039629156,2.46599305499107,6.81835008776068,9.20920053376685e-12,7.60117179612078e-09,OXSM_ENSG00000151093,OXSM
542.096528561485,-4.47205931739381,0.669597082078768,-6.67873178824237,2.41018795870675e-11,1.88464013171085e-08,FAM53C_ENSG00000120709,FAM53C
8.32373566316831,15.9940782331026,2.40901537550724,6.63925950648402,3.15262924525529e-11,2.34193063483789e-08,C12orf54_ENSG00000177627,C12orf54
