baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_ensembl,gene
4.10906695389085,21.5167226739649,2.12343832382433,10.1329633324189,3.94508819693635e-24,1.86873896528629e-21,AL035078.4_ENSG00000285283,AL035078.4
18.5626648243275,22.4864478723198,2.24938078945822,9.99672797851887,1.57515714893281e-23,7.23522183743136e-21,IL1A_ENSG00000115008,IL1A
4.90587689585759,19.5582264301583,1.97103462824936,9.92282233393819,3.31254411218044e-23,1.47681010742444e-20,ZNF177_ENSG00000188629,ZNF177
2.09586875686952,20.4439271546678,2.06129288087937,9.91801181884754,3.4761117175963e-23,1.50545432615214e-20,TSPAN13_ENSG00000106537,TSPAN13
4.34694144830817,22.049006432636,2.22766308879523,9.89781917361685,4.25451107296834e-23,1.79138552344595e-20,WNT5A_ENSG00000114251,WNT5A
15.100056495669,21.3150982916178,2.17815612245195,9.78584504200893,1.29508871339944e-22,5.30566343721856e-20,AC093884.1_ENSG00000286239,AC093884.1
12.1538363652315,23.8742254432424,2.49040121206667,9.58649768060074,9.11258246030804e-22,3.63496118245656e-19,AC079447.1_ENSG00000241962,AC079447.1
3.47980656657404,19.5991047571946,2.07445287699848,9.44784283822949,3.45885181332585e-21,1.34434040477931e-18,FAM221B_ENSG00000204930,FAM221B
4.3896393849929,20.6105156780566,2.18505924190286,9.43247454476698,4.00526260430002e-21,1.51779426389949e-18,GRIK4_ENSG00000149403,GRIK4
6.551993500458,21.1898844234634,2.27371767930406,9.31948791019176,1.16903151293755e-20,4.3219950422213e-18,AL807752.6_ENSG00000279073,AL807752.6
3.45829642557999,18.0083937217322,2.04393130997135,8.81066483686512,1.24405807978329e-18,4.48986485079885e-16,FAM171A2_ENSG00000161682,FAM171A2
7.22902880020309,20.9791709695164,2.56161128082035,8.18983392468425,2.61586881294367e-16,9.22124173641865e-14,RAB3C_ENSG00000152932,RAB3C
3.09949321211151,19.6806912158281,2.4122401108459,8.15867837009255,3.3871024441306e-16,1.16685679200299e-13,SPATA24_ENSG00000170469,SPATA24
2.98679816878894,21.683244249922,2.78571086168109,7.78373827240521,7.04123499082559e-15,2.37180088868743e-12,EBF4_ENSG00000088881,EBF4
